date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:07	17480/17480	---M--	200	added ('OK')	image/svg+xml	etag:%224448-515f9ef936fdb%22	http://www.stacki.com/wp-content/themes/slowave/style/type/picons/piconsthin.svg	./stacki/www.stacki.com/wp-content/themes/slowave/style/type/picons/piconsthin.svg	(from http://www.stacki.com/wp-content/themes/slowave/style/type/picons.css?ver=4.2.2)
13:50:07	50448/50448	---M--	200	added ('OK')	application/x-font-ttf	etag:%22c510-515f9ef91e93b%22	http://www.stacki.com/wp-content/themes/slowave/style/type/budicons/budicon.ttf	./stacki/www.stacki.com/wp-content/themes/slowave/style/type/budicons/budicon.ttf	(from http://www.stacki.com/wp-content/themes/slowave/style/type/budicons.css?ver=4.2.2)
13:50:07	9507/9507	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/plugins/ds-live-composer/css/A.main.css,qver=4.2.2.pagespeed.cf.Qop6wdwRWu.css	./stacki/www.stacki.com/wp-content/plugins/ds-live-composer/css/A.main.css,qver=4.2.2.pagespeed.cf.Qop6wdwRWu.css	(from http://www.stacki.com/Intro/)
13:50:07	12575/12575	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/plugins/ds-live-composer/css/front/A.plugins.css,qver=4.2.2.pagespeed.cf.dRXCQB9FG4.css	./stacki/www.stacki.com/wp-content/plugins/ds-live-composer/css/front/A.plugins.css,qver=4.2.2.pagespeed.cf.dRXCQB9FG4.css	(from http://www.stacki.com/Intro/)
13:50:08	7664/7664	---M--	200	added ('OK')	application/x-font-ttf	etag:%221df0-515f9ef937f7b%22	http://www.stacki.com/wp-content/themes/slowave/style/type/picons/piconsthin.ttf	./stacki/www.stacki.com/wp-content/themes/slowave/style/type/picons/piconsthin.ttf	(from http://www.stacki.com/wp-content/themes/slowave/style/type/picons.css?ver=4.2.2)
13:50:08	24511/24511	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/plugins/ds-live-composer/css/A.font-awesome.css,qver=4.2.2.pagespeed.cf.nshgsKDuku.css	./stacki/www.stacki.com/wp-content/plugins/ds-live-composer/css/A.font-awesome.css,qver=4.2.2.pagespeed.cf.nshgsKDuku.css	(from http://www.stacki.com/Intro/)
13:50:08	20802/20802	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/plugins/ds-live-composer/css/A.modules.css,qver=4.2.2.pagespeed.cf.4abdMK3uzQ.css	./stacki/www.stacki.com/wp-content/plugins/ds-live-composer/css/A.modules.css,qver=4.2.2.pagespeed.cf.4abdMK3uzQ.css	(from http://www.stacki.com/Intro/)
13:50:08	4656/4656	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/plugins/ds-live-composer/tutorial/A.tutorial.css,qver=4.2.2.pagespeed.cf.IShiGL8Avi.css	./stacki/www.stacki.com/wp-content/plugins/ds-live-composer/tutorial/A.tutorial.css,qver=4.2.2.pagespeed.cf.IShiGL8Avi.css	(from http://www.stacki.com/Intro/)
13:50:08	295/295	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.stacki.com/wp-content/plugins/likes/images/xheart.png.pagespeed.ic.vpLkqmr04C.png	./stacki/www.stacki.com/wp-content/plugins/likes/images/xheart.png.pagespeed.ic.vpLkqmr04C.png	(from http://www.stacki.com/Intro/)
13:50:08	50612/50612	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22c5b4-515f9ef919b1b%22	http://www.stacki.com/wp-content/themes/slowave/style/type/budicons/budicon.eot?	./stacki/www.stacki.com/wp-content/themes/slowave/style/type/budicons/budicond41d.eot	(from http://www.stacki.com/wp-content/themes/slowave/style/type/budicons.css?ver=4.2.2)
13:50:09	291/291	---M--	200	added ('OK')	image/png	etag:W/%220%22	http://www.stacki.com/wp-content/plugins/likes/images/xheart_active.png.pagespeed.ic.0kPhQZiOVi.png	./stacki/www.stacki.com/wp-content/plugins/likes/images/xheart_active.png.pagespeed.ic.0kPhQZiOVi.png	(from http://www.stacki.com/Intro/)
13:50:09	26326/26326	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/plugins/revslider/rs-plugin/css/A.settings.css,qrev=4.2.1,aver=4.2.2.pagespeed.cf.8Y--4lHbJv.css	./stacki/www.stacki.com/wp-content/plugins/revslider/rs-plugin/css/A.settings.css,qrev=4.2.1,aver=4.2.2.pagespeed.cf.8Y--4lHbJv.css	(from http://www.stacki.com/Intro/)
13:50:09	10501/10501	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/plugins/revslider/rs-plugin/css/A.captions.php,qrev=4.2.1,aver=4.2.2.pagespeed.cf.ExIoBkHpNu.css	./stacki/www.stacki.com/wp-content/plugins/revslider/rs-plugin/css/A.captions.php,qrev=4.2.1,aver=4.2.2.pagespeed.cf.ExIoBkHpNu.css	(from http://www.stacki.com/Intro/)
13:50:09	6417/6417	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/plugins/download-monitor/assets/css/A.frontend.css,qver=4.2.2.pagespeed.cf.OVW2_-N4n8.css	./stacki/www.stacki.com/wp-content/plugins/download-monitor/assets/css/A.frontend.css,qver=4.2.2.pagespeed.cf.OVW2_-N4n8.css	(from http://www.stacki.com/Intro/)
13:50:10	102833/102833	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/themes/slowave/style/css/A.bootstrap.css,qver=4.2.2.pagespeed.cf.wUsoTPro-z.css	./stacki/www.stacki.com/wp-content/themes/slowave/style/css/A.bootstrap.css,qver=4.2.2.pagespeed.cf.wUsoTPro-z.css	(from http://www.stacki.com/Intro/)
13:50:10	5340/5340	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/themes/slowave/style/css/A.owl.carousel.css,qver=4.2.2.pagespeed.cf.V7FVWVgsua.css	./stacki/www.stacki.com/wp-content/themes/slowave/style/css/A.owl.carousel.css,qver=4.2.2.pagespeed.cf.V7FVWVgsua.css	(from http://www.stacki.com/Intro/)
13:50:10	4268/4268	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/themes/slowave/style/js/fancybox/A.jquery.fancybox.css,qver=4.2.2.pagespeed.cf.G9E0r_HUSZ.css	./stacki/www.stacki.com/wp-content/themes/slowave/style/js/fancybox/A.jquery.fancybox.css,qver=4.2.2.pagespeed.cf.G9E0r_HUSZ.css	(from http://www.stacki.com/Intro/)
13:50:10	71618/71618	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/themes/slowave/A.style.css,qver=4.2.2.pagespeed.cf.iJ7Nz1UndC.css	./stacki/www.stacki.com/wp-content/themes/slowave/A.style.css,qver=4.2.2.pagespeed.cf.iJ7Nz1UndC.css	(from http://www.stacki.com/Intro/)
13:50:10	21666/21666	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/themes/slowave/style/type/A.fontello.css,qver=4.2.2.pagespeed.cf.XIsticGILI.css	./stacki/www.stacki.com/wp-content/themes/slowave/style/type/A.fontello.css,qver=4.2.2.pagespeed.cf.XIsticGILI.css	(from http://www.stacki.com/Intro/)
13:50:11	12623/12623	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.stacki.com/wp-content/themes/slowave/style/type/A.budicons.css,qver=4.2.2.pagespeed.cf.9seimG-54K.css	./stacki/www.stacki.com/wp-content/themes/slowave/style/type/A.budicons.css,qver=4.2.2.pagespeed.cf.9seimG-54K.css	(from http://www.stacki.com/Intro/)
